english	german	french	spanish	xhosa	afrikaans
degree	Grad	degré	grado	iqondo	graad
delivery	Lieferung	livraison	entrega	Ukuzisa	aflewering
democracy	Demokratie	démocratie	democracia	Nkululeko	demokrasie
depth	Tiefe	profondeur	profundidad	ubunzulu	diepte
desk	Schreibtisch	bureau	escritorio	idesika	lessenaar
difficulty	Schwierigkeit	difficulté	dificultad	ubunzima	swarigheid
disaster	Katastrophe	désastre	desastre	intlekele	ramp
disease	Krankheit	maladie	enfermedad	isifo	siekte
door	Tür	porte	puerta	ucango	deur
driver	Fahrer	conducteur	conductor	umqhubi	bestuurder
duty	Pflicht	devoir	deber	uxanduva	plig
ear	Ohr	oreille	oído	indlebe	oor
earnings	Ertrag	bénéfices	ganancias	imivuzo	verdienste
earth	Erde	terre	tierra	umhlaba	aarde
east	Osten	est	este	Mpuma langa	oos
economics	Wirtschaftlichkeit	économie	economía	Economics	Ekonomie
economy	Wirtschaft	économie	economía	uqoqosho	ekonomie
effect	Wirkung	effet	efecto	isiphumo	effek
efficiency	Leistungsfähigkeit	efficacité	eficiencia	impumelelo	doeltreffendheid
egg	Ei	œuf	huevo	iqanda	eier
emergency	Notfall	urgence	emergencia	Ngxamiseko	nood
employee	Mitarbeiter	employé	empleado	umqeshwa	werknemer
employer	Arbeitgeber	employeur	empleador	umqeshi	werkgewer
employment	Beschäftigung	emploi	empleo	ingqesho	indiensneming
enemy	Feind	ennemi	enemigo	utshaba	vyand
energy	Energie	énergie	energía	amandla	energie
engine	Motor	moteur	motor	injini	enjin
engineering	Ingenieurwesen	ingénierie	ingeniería	zobunjineli	ingenieurswese
enterprise	Unternehmen	entreprise	empresa	lweshishini	onderneming
entrance	Eingang	entrée	entrada	Ukungena	ingang
entry	Eintrag	entrée	entrada	ukungena	inskrywing
equation	Gleichung	équation	ecuación	equation	vergelyking
equipment	Ausrüstung	équipement	equipo	izixhobo	toerusting
evaluation	Auswertung	évaluation	evaluación	novavanyo	evaluering
evening	Abend	soirée	tarde	ngokuhlwa	aand
event	Ereignis	événement	evento	isiganeko	gebeurtenis
evidence	Beweis	preuve	evidencia	ubungqina	bewyse
examination	Prüfung	examen	examen	uviwo	eksamen
example	Beispiel	exemple	ejemplo	umzekelo	byvoorbeeld
exchange	Austausch	échange	intercambio	utshintshiselwano	ruil
executive	Führungskraft	exécutif	ejecutivo	Isigqeba	uitvoerende
exhibition	Ausstellung	exposition	exposición	umboniso	uitstalling
expectation	Erwartung	attente	expectativa	ukulindela	verwagting
expenditure	Ausgaben	dépense	gasto	inkcitho	uitgawes
key	Schlüssel	mesure	llave	isitshixo	sleutel
fact	Tatsache	fait	hecho	inyaniso	feit
factory	Fabrik	usine	fábrica	ifektri	fabriek
failure	Scheitern	échec	fracaso	ukusilela	mislukking
faith	Glaube	conviction	fe	ukholo	geloof
family	Familie	famille	familia	usapho	gesin
farmer	Bauer	agriculteur	agricultor	Umlimi	boer
february	Februar	février	febrero	EyoMdumba	Februarie
fee	Gebühr	frais	cuota	intlawulo	fooi
field	Feld	champ	campo	intsimi	veld
findings	Ergebnisse	résultats	hallazgos	ezifunyanisiweyo	bevindings
firm	Betrieb	firme	firma	qinile	firma
meat	Fleisch	chair	carne	inyama	vleis
flight	Flug	vol	vuelo	ukubhabha	vlug
food	Lebensmittel	nourriture	comida	ukutya	kos
foot	Fuß	pied	pie	unyawo	voet
forest	Wald	forêt	bosque	ihlathi	bos
foundation	Gründung	fondation	fundación	isiseko	Stigting
framework	Rahmenwerk	cadre	marco	sikhokelo	raamwerk
freedom	Freiheit	liberté	libertad	inkululeko	vryheid
frequency	Häufigkeit	fréquence	frecuencia	sokuquqa	frekwensie
friend	Freund	ami	amigo	umhlobo	vriend
furniture	Möbel	meubles	muebles	Mpahla	meubels
future	Zukunft	futur	futuro	ikamva	toekoms
game	Spiel	jeu	juego	umdlalo	speletjie
gentleman	Gentleman	gentleman	caballero	inene	Heer
gift	Geschenk	cadeau	regalo	isipho	geskenk
girl	Mädchen	fille	chica	intombazana	meisie
glass	Glas	verre	cristal	iglasi	glas
glasses	Brille	lunettes	gafas	iiglasi	bril
god	Gott	dieu	dios	uThixo	God
gold	Gold	or	oro	igolide	goud
goods	Waren	biens	bienes	impahla	goedere
grass	Gras	herbe	hierba	ingca	gras
growth	Wachstum	croissance	crecimiento	ukukhula	groei
guest	Gast	invité	invitado	undwendwe	gas
guitar	Gitarre	guitare	guitarra	Ikatara/Siginci	kitaar
gun	Gewehr	pistolet	pistola	umpu	geweer
hair	Haar	cheveux	pelo	iinwele	hare
health	Gesundheit	santé	salud	impilo	gesondheid
heart	Herz	cœur	corazón	intliziyo	hart
height	Höhe	hauteur	altura	ukuphakama	hoogte
hell	Hölle	enfer	infierno	isihogo	hel
hill	Hügel	colline	colina	induli	Hewel
history	Geschichte	histoire	historia	imbali	geskiedenis
hole	Loch	trou	agujero	umngxuma	gat
horse	Pferd	cheval	caballo	ihashe	perd
hour	Stunde	heure	hora	yure	uur
housing	Unterkunft	logement	viviendas	izindlu	behuising
hundred	Hundert	cent	cien	ikhulu	honderd
identity	Identität	identité	identidad	yesazisi	identiteit
illness	Krankheit	maladie	enfermedad	isigulo	siekte
income	Einkommen	revenu	ingresos	ingeniso	inkomste
industry	Industrie	industrie	industria	ishishini	bedryf
injury	Verletzung	blessure	lesión	ukwenzakala	besering
institute	Institut	institut	instituto	iziko	Instituut
insurance	Versicherung	assurance	seguro	inshorensi	versekering
island	Insel	île	isla	isiqithi	eiland
jacket	Jacke	veste	chaqueta	ibhatyi	baadjie
january	Januar	janvier	enero	EyoMqungu	Januarie
job	Arbeit	emploi	trabajo	umsebenzi	werk
judgement	Urteil	jugement	juicio	isigwebo	oordeel
july	Juli	juillet	julio	EyeKhala	Julie
june	Juni	juin	junio	Isilimela	Junie
king	König	roi	rey	ukumkani	koning
kingdom	Königreich	royaume	reino	ubukumkani	koninkryk
kitchen	Küche	cuisine	cocina	ikhitshi	kombuis
knee	Knie	genou	rodilla	idolo	knie
knife	Messer	couteau	cuchillo	imela	mes
work	Arbeit	travail	trabajo	umsebenzi	werk
laboratory	Labor	laboratoire	laboratorio	ilabhoratri	laboratorium
lady	Dame	dame	dama	inenekazi	dame
landscape	Landschaft	paysage	paisaje	mhlaba	landskap
language	Sprache	langue	idioma	ulwimi	Taal
law	Gesetz	droit	ley	umthetho	wet
leather	Leder	cuir	cuero	isikhumba	leer
leg	Bein	jambe	pierna	umlenze	been
leisure	Freizeit	loisir	ocio	lokuphola	ontspanning
length	Länge	longueur	longitud	ubude	lengte
letter	Brief	lettre	carta	ileta	brief
level	Niveau	niveau	nivel	kwinqanaba	vlak
life	Leben	vie	vida	ubomi	lewe
lip	Lippe	lèvre	labio	umlebe	lip
location	Lage	emplacement	ubicación	indawo	Lokasie
loss	Verlust	perte	pérdida	ilahleko	verlies
majority	Mehrheit	majorité	mayoría	uninzi	meerderheid
man	Mann	homme	hombre	indoda	man
manager	Manager	manager	gerente	umlawuli	bestuurder
march	März	mars	marcha	EyoKwindla	Maart
market	Markt	marché	mercado	imarike	mark
marriage	Ehe	mariage	matrimonio	umtshato	huwelik
meal	Mahlzeit	repas	comida	isidlo	maaltyd
meaning	Bedeutung	signification	significado	intsingiselo	beteken
meat	Fleisch	viande	carne	inyama	vleis
mechanism	Mechanismus	mécanisme	mecanismo	indlela	meganisme
member	Mitglied	membre	miembro	ilungu	lid
membership	Mitgliedschaft	adhésion	afiliación	ubulungu	lidmaatskap
memory	Speicher	mémoire	memoria	inkumbulo	geheue
method	Verfahren	méthode	método	indlela yokwenza	metode
middle	Mitte	milieu	medio	phakathi	middel
mind	Geist	esprit	mente	ingqondo	gedagte
minister	Minister	ministre	ministro	umfundisi	Minister
ministry	Ministerium	ministère	ministerio	inkonzo	bediening
minority	Minderheit	minorité	minoría	igcuntswana	minderheid
mixture	Mischung	mélange	mezcla	umxube	mengsel
money	Geld	argent	dinero	imali	geld
month	Monat	mois	mes	inyanga	maand
mood	Stimmung	humeur	humor	imo	bui
morning	Morgen	matin	mañana	ntseni	oggend
mountain	Berg	montagne	montaña	intaba	berg
movement	Bewegung	mouvement	movimiento	intshukumo	beweging
museum	Museum	musée	museo	imyuziyam	museum
music	Musik	musique	música	umculo	musiek
neck	Hals	cou	cuello	intamo	nek
neighbor	Nachbar	voisin	vecino	ummelwane	buurman
news	Nachrichten	nouvelles	noticias	iindaba	Nuus
newspaper	Zeitung	journal	periódico	Iphephandaba	koerant
night	Nacht	nuit	noche	busuku	nag
noise	Lärm	bruit	ruido	ingxolo	geraas
north	Norden	nord	norte	mantla	Noord
nose	Nase	nez	nariz	impumlo	neus
november	November	novembre	noviembre	EyeNkanga	November
objective	Ziel	objectif	objetivo	Injongo	doel
october	Oktober	octobre	octubre	EyeDwarha	Oktober
offense	Vergehen	infraction	crimen	ityala	oortreding
office	Beamter	bureau	oficina	iofisi	kantoor
officer	Offizier	officier	oficial	igosa	offisier
official	offiziell	officiel	oficial	igosa	amptelik
openings	Öffnungen	ouvertures	aperturas	Amuthuba	openinge
origin	Herkunft	origine	origen	imvelaphi	oorsprong
result	Ergebnis	résultat	resultado	isiphumo	Resultaat
paintings	Malereien	peintures	pinturas	imizobo	skilderye
paper	Papier	papier	papel	iphepha	papier
paragraph	Absatz	paragraphe	párrafo	umhlathi	paragraaf
parish	Gemeinde	paroisse	parroquia	ibandla	gemeente
parliament	Parlament	parlement	parlamento	ipalamente	parlement
partnership	Partnerschaft	partenariat	asociación	ulwahlulelwano	vennootskap
past	Vergangenheit	passé	pasado	elidlulileyo	verlede
path	Pfad	chemin	camino	indlela	pad
payment	Bezahlung	paiement	pago	intlawulo	betaling
peace	Frieden	paix	paz	uxolo	vrede
people	Menschen	personnes	gente	abantu	mense
percentage	Prozentsatz	pourcentage	porcentaje	ipesenti	persentasie
person	Person	personne	persona	umntu	persoon
airplane	Flugzeug	avion	avión	inqwelo-moya	vliegtuig
plastic	Kunststoff	plastique	plástico	iplastiki	plastiek
player	Spieler	joueur	jugador	umdlali	speler
poetry	Dichtung	poésie	poesía	izibongo	gedigte
politician	Politiker	politicien	político	Umpolitiki	politikus
politics	Politik	politique	política	ipolitiki	politiek
potential	Potenzial	potentiel	potencial	ezinokubakho	potensiaal
poverty	Armut	pauvreté	pobreza	ubuhlwempu	armoede
premise	Prämisse	prémisse	premisa	kwisindululo	Veronderstel
presence	Gegenwart	présence	presencia	ubukho	teenwoordigheid
price	Preis	prix	precio	ixabiso	prys
principle	Prinzip	principe	principio	umgaqo	beginsel
priority	Priorität	priorité	prioridad	Ukubaluleka	prioriteit
prisoner	Gefangene	prisonnier	preso	umbanjwa	gevangene
problem	Problem	problème	problema	ingxaki	probleem
process	Prozess	processus	proceso	inkqubo	proses
product	Produkt	produit	producto	imveliso	produk
professor	Professor	professeur	profesor	unjingalwazi	Professor
program	Programm	programme	programa	inkqubo	program
progress	Fortschritt	progrès	progreso	inkqubela	vordering
property	Eigentum	propriété	propiedad	ipropati	eiendom
student	Schüler	élève	alumno	umfundi	student
purpose	Zweck	objectif	propósito	injongo	doel
quality	Qualität	qualité	calidad	uphawu	gehalte
queen	Königin	reine	reina	ukumkanikazi	koningin
reaction	Reaktion	réaction	reacción	impendulo	reaksie
reader	Leser	lecteur	lector	umfundi	leser
reality	Wirklichkeit	réalité	realidad	inyaniso	werklikheid
recession	Rezession	récession	recesión	ukurhoxa	resessie
reduction	Reduktion	réduction	reducción	ukunciphisa	vermindering
regime	Regime	régime	régimen	ulawulo	regime
relief	Erleichterung	soulagement	alivio	isiqabu	verligting
republic	Republik	république	república	iriphabliki	Republiek
reputation	Ansehen	réputation	reputación	isidima	reputasie
requirement	Anforderung	exigence	requisito	imfuneko	vereiste
resident	Einwohner	résident	residente	ummi	inwoner
resistance	Widerstand	résistance	resistencia	ukuxhathisa	weerstand
resolution	Auflösung	résolution	resolución	isisombululo	resolusie
resource	Ressource	ressource	recurso	ubutyebi	hulpbron
response	Antwort	réponse	respuesta	impendulo	reaksie
result	Ergebnis	résultat	resultado	isiphumo	gevolg
retirement	Ruhestand	retraite	jubilación	umhlala-phantsi	aftrede
revenue	Einnahmen	revenu	beneficios	ingeniso	inkomste
revolution	Revolution	révolution	revolución	inguqu	revolusie
river	Fluss	fleuve	río	umlambo	rivier
road	Straße	route	carretera	indlela	pad
roof	Dach	toit	techo	uphahla	dak
room	Zimmer	pièce	habitación	igumbi	kamer
security	Sicherheit	sécurité	seguridad	ukhuseleko	sekuriteit
sale	Verkauf	vente	venta	intengiso	koop
saturday	Samstag	samedi	sábado	uMgqibelo	Saterdag
savings	Ersparnisse	économies	ahorros	Mali eselugcinweni	spaar
sea	Meer	mer	mar	ulwandle	see
second	zweite	deuxième	segundo	Isibini	tweede
secretary	Sekretär	secrétaire	secretario	unobhala	sekretaris
security	Sicherheit	sécurité	seguridad	ukhuseleko	sekuriteit
sentence	Satz	phrase	oración	isigwebo	sin
september	September	septembre	septiembre	EyoMsintsi	September
series	Serie	série	serie	uthotho	reeks
servant	Diener	serviteur	criado	isicaka	dienaar
shareholder	Gesellschafter	actionnaire	accionista	zabelo	aandeelhouer
sheep	Schaf	mouton	oveja	igusha	skape
shirt	Hemd	chemise	camisa	ihempe	hemp
shoe	Schuh	chaussure	zapato	isihlangu	skoen
side	Seite	côté	lado	icala	kant
Mister	Herr	monsieur	señor	Tat	Meneer
sister	Schwester	sœur	hermana	usisi	suster
size	Größe	taille	tamaño	ubungakanani	grootte
skill	Geschick	compétence	habilidad	ubuchule	vaardigheid
sky	Himmel	ciel	cielo	isibhakabhaka	lug
soccer	Fußball	football	fútbol	ibhola ekhatywayo	sokker
society	Gesellschaft	société	sociedad	uluntu	samelewing
son	Sohn	fils	hijo	unyana	seun
song	Lied	chanson	canción	ingoma	lied
soul	Seele	âme	alma	umphefumlo	siel
south	Süden	sud	sur	mazantsi	Suid
space	Raum	espace	espacio	isithuba	ruimte
species	Spezies	espèce	especies	iintlobo	spesies
spirit	Geist	esprit	espíritu	umoya	gees
stair	Stufe	marche	escalera	ezite-	trap
status	Status	statut	estado	iwonga	status
story	Geschichte	histoire	historia	ibali	storie
street	Straße	rue	calle	isitalato	straat
strength	Stärke	force	fuerza	amandla	krag
student	Student	étudiant	estudiante	umfundi	student
success	Erfolg	succès	éxito	impumelelo	sukses
sugar	Zucker	sucre	azúcar	iswekile	suiker
summer	Sommer	été	verano	ihlobo	somer
summit	Gipfel	sommet	cumbre	ngqungquthela	hoogtepunt
sunday	Sonntag	dimanche	domingo	iCawe	Sondag
surgery	Chirurgie	chirurgie	cirugía	utyando	chirurgie
symptom	Symptom	symptôme	síntoma	uphawu	simptoom
tank	Panzer	réservoir	tanque	itanki	tenk
task	Aufgabe	tâche	tarea	umsebenzi	taak
tea	Tee	thé	té	iti	tee
teacher	Lehrer	enseignant	maestro	utitshala	onderwyser
team	Mannschaft	équipe	equipo	iqela	span
technology	Technologie	technologie	tecnología	iteknoloji	tegnologie
tenant	Mieter	locataire	inquilino	umqeshi	huurder
watch	Uhr	tendance	reloj	khangela	arm horlosie
territory	Gebiet	territoire	territorio	ummandla	gebied
theatre	Theater	théâtre	teatro	ithiyetha	teater
theme	Thema	thème	tema	umxholo	tema
theory	Theorie	théorie	teoría	ithiyori	teorie
thing	Ding	chose	cosa	into	ding
thousand	Tausend	mille	mil	iwaka	duisend
threat	Bedrohung	menace	amenaza	isoyikiso	bedreiging
throat	Kehle	gorge	garganta	umqala	keel
thursday	Donnerstag	jeudi	jueves	uLwesine	Donderdag
title	Titel	titre	título	isihloko	titel
tool	Werkzeug	outil	herramienta	isixhobo	gereedskap
tooth	Zahn	dent	diente	izinyo	tand
topic	Thema	sujet	tema	isihloko	onderwerp
town	Stadt	ville	pueblo	idolophu	dorp
traffic	Verkehr	circulation	tráfico	yendlela	verkeer
treatment	Behandlung	traitement	tratamiento	impatho	behandeling
treaty	Abkommen	traité	tratado	umnqophiso	verdrag
tree	Baum	arbre	árbol	umthi	boom
trend	Trend	tendance	tendencia	umkhwa	Trand
troop	Trupp	troupe	tropa	amajarha	bende
truth	Wahrheit	vérité	verdad	inyaniso	waarheid
unit	Einheit	unité	unidad	unit	eenheid
universe	Universum	univers	universo	indalo yonke	heelal
university	Universität	université	universidad	iyunivesithi	universiteit
user	Benutzer	utilisateur	usuario	umsebenzisi	gebruiker
valley	Tal	vallée	valle	intlambo	vallei
variety	Abwechslung	variété	variedad	iintlobo	verskeidenheid
vehicle	Fahrzeug	véhicule	vehículo	isithuthi	voertuig
victim	Opfer	victime	víctima	ixhoba	slagoffer
victory	Sieg	victoire	victoria	uloyiso	oorwinning
visitor	Besucher	visiteur	visitante	undwendwe	besoeker
wage	Lohn	salaire	salario	ngemivuzo	loon
wall	Wand	mur	pared	udonga	muur
wealth	Reichtum	richesse	riqueza	ubutyebi	rykdom
weapon	Waffe	arme	arma	isixhobo	wapen
weather	Wetter	Météo	tiempo	Imo yezulu	weer
wednesday	Mittwoch	mercredi	miércoles	uLwesithathu	Woensdag
week	Woche	semaine	semana	iveki	week
weight	Gewicht	poids	peso	ubunzima	gewig
west	Westen	ouest	oeste	bucala ngasekunene	Wes
wife	Ehefrau	femme	esposa	inkosikazi	vrou
window	Fenster	fenêtre	ventana	ifestile	venster
wing	Flügel	aile	ala	iphiko	vlerk
winner	Sieger	gagnant	ganador	ophumeleleyo	wenner
woman	Frau	femme	mujer	Mfazi	vrou
wood	Holz	bois	madera	iinkuni	hout
word	Wort	mot	palabra	igama	woord
work	Arbeit	travail	trabajo	umsebenzi	werk
world	Welt	monde	mundo	ihlabathi	wêreld
writer	Schriftsteller	écrivain	escritor	umbhali	skrywer
year	Jahr	an	año	unyaka	jaar
youth	Jugend	jeunesse	juventud	ulutsha	jeug
to accept	akzeptieren	accepter	aceptar	ukwamkela	om te aanvaar
to care	sich kümmern	prendre soin de	cuidar	ukukhathala	om om te gee
to enjoy	genießen	profiter	disfrutar	ukonwabela	geniet
to happen	passieren	se dérouler	ocurrir	ukwenzeka	om te gebeur
to lead	führen	conduire	dirigir	ukukhokhela	om te lei
to open	öffnen	ouvrir	abrir	ukuvula	om oop te maak
to reduce	reduzieren	réduire	reducir	ukunciphisa	te verminder
to settle	sich niederlassen	s'installer	resolver	ukuhlalisa	Om af te handel
to teach	unterrichten	enseigner	enseñar	ukufundisa	om te leer
to account	berücksichtigen	rendre des comptes	considerar	kwi-akhawunti	Om te bereken
to carry	tragen	porter	llevar	ukubamba	om te dra
to count	zählen	compter	contar	ukubala	om te tel
to examine	prüfen	examiner	examinar	ukuba ukuhlolisisa	om te ondersoek
to hate	hassen	détester	odiar	ukubathiya	te haat
to learn	lernen	apprendre	aprender	ukufunda	om te leer
to order	bestellen	commander	ordenar	uku-oda	bestel
to refer	verweisen	Se référer	referir	ukubhekisela	om te verwys
to shake	schütteln	secouer	sacudir	ukuyishukumisa	om te skud
to tell	erzählen	dire	contar	ukuxela	vertel
to achieve	erreichen	atteindre	lograr	ukuphumelela	bereik
to catch	fangen	attraper	atrapar	ukubamba	te vang
to cover	zudecken	couvrir	cubrir	ukwegquma	om te bedek
to exist	existieren	exister	existir	ukubakho	om te bestaan
to have	haben	avoir	tener	ukufumana	om te hê
to leave	verlassen	partir	dejar	ukuhamba	om te verlaat
to reflect	reflektieren	tenir compte	reflejar	ukubonakalisa	om te besin
to tend	tendieren	de s'occuper	atender	walusa	instandhouding
to act	handeln	agir	actuar	ukwenza intshukumo	om op te tree
to cause	verursachen	provoquer	causar	ukwenza	om te veroorsaak
to create	erschaffen	créer	crear	ukudala	om te skep
to expect	erwarten	s'attendre à	esperar	ukulindela	om te verwag
to head	leiten	diriger	dirigir	ukukhokhela	om te lei
to lend	verleihen	prêter	prestar	Ukoboleka	te leen
to own	besitzen	posséder	poseer	ukuyenza eyakho	om te besit
to refuse	ablehnen	refuser	rechazar	Ukwala	om te weier
to share	teilen	partager	compartir	ukwabelana	om te deel
to test	probieren	tester	probar	ukuvavanya	om te toets
to add	hinzufügen	ajouter	añadir	Ukongeza	om aan te las
to change	wechseln	changer	cambiar	ukutshintsha	om te verander
to cross	kreuzen	traverser	cruzar	ukuwela	oor te steek
to experience	erleben	connaître	experimentar	ukubanamava	om te ondervind
to hear	hören	entendre	oír	ukuva	om te hoor
to let	lassen	laisser	dejar	ukuzisa	om jou te laat
to pass	bestehen	passer	pasar	ukudlula	om te slaag
to regard	beachten	de considérer	considerar	ukuba ngokuphathelele	om betrekking
to shoot	schießen	tirer	disparar	ukuba kutolwe	om te skiet
to thank	danken	remercier	dar gracias	ukubulela	bedank
to admit	zugeben	admettre	admitir	ukuyivuma	om te erken
to charge	aufladen	faire payer	cargar	Uhlawulisa	te hef
to cry	weinen	pleurer	llorar	ukulila	om te huil
to explain	erklären	expliquer	explicar	ukucacisa	te verduidelik
to help	helfen	aider	ayudar	ukunceda	om te help
to lie	lügen	mentir	mentir	ukuxoka	lieg
to pay	bezahlen	payer	pagar	ukuhlawula	om te betaal
to relate	sich beziehen	Rapporter	relacionar	ukuba babalise	om 'n verband
to think	denken	penser	pensar	ukucinga	om te dink
to affect	beeinflussen	Affecter	afectar	kuchaphazela	om te beinvloed
to check	überprüfen	vérifier	comprobar	ukujonga	Om te kyk
to cut	schneiden	couper	cortar	ukusika	om te sny
to express	ausdrücken	exprimer	expresar	ukuvakalisa	uit te druk
to hide	verstecken	cacher	esconder	ukufihla	om weg te steek
to like	mögen	apprécier	gustar	ukuthanda	om soos
to perform	aufführen	Exécuter	actuar	ukwenza	om op te tree
to release	loslassen	Libérer	soltar	ukukhulula	vry te stel
to shout	rufen	crier	gritar	ukukhwaza	te skree
to throw	werfen	lancer	lanzar	Ukujula	om te gooi
to afford	sich leisten	se permettre	permitirse	Ukufikeleleka	bekostig
to choose	auswählen	choisir	escoger	ukukhetha	om van te kies
to damage	beschädigen	endommager	dañar	ukuba umonakalo	om skade
to extend	erweitern	étendre	ampliar	ukwandisa	om te verleng
to hit	schlagen	frapper	golpear	Ukubetha	om te tref
to limit	begrenzen	limiter	limitar	ukuba umda	te beperk
to pick	auswählen	choisir	recoger	ukcola	op te tel
to remain	bleiben	rester	permanecer	ukuma	om te bly
to show	zeigen	montrer	mostrar	ukubonisa	om te wys
to touch	berühren	toucher	tocar	ukumchukumisa	om aan te raak
to agree	zustimmen	être d'accord	estar de acuerdo	ukuba uyavumelana	om saam te stem
to claim	beanspruchen	prétendre	reclamar	Ukufuna	aanspraak
to dance	tanzen	danser	bailar	ukudanisa	om te dans
to face	begegnen	faire face à	afrontar	ukujongana	gesig
to hold	halten	tenir	sostener	ukubamba	om vas te hou
to link	verlinken	lier	enlazar	ukukhonkca	na skakel
to place	hinstellen	placer	colocar	ukuya kwindawo	te plaas
to remember	erinnern	se souvenir	recordar	ukukhumbula	onthou
to shut	schließen	fermer	cerrar	ukuluvala	af te sluit
to train	trainieren	entraîner	entrenar	ukuqeqesha	om op te lei
to aim	zielen	viser	apuntar	onokujonga	na te streef
to clean	reinigen	nettoyer	limpiar	ukucoca	om skoon te maak
to deal	handeln	négocier	tratar	ukujongana	om te gaan
to fail	versagen	échouer	fallar	Ukunga phumeleli	om te misluk
to hope	hoffen	espérer	esperanza	ukubanethemba	hoop
to listen	zuhören	écouter	escuchar	Ukumamela	om te luister
to plan	planen	planifier	planear	ukucwangcisa	om te beplan
to remove	entfernen	retirer	eliminar	ukususa	om te verwyder
to sing	singen	chanter	cantar	ukucula	om te sing
to travel	reisen	voyager	viajar	ukuhamba	om te reis
to allow	erlauben	autoriser	permitir	ukuvumela	om toe te laat
to clear	löschen	nettoyer	limpiar	ukuba alihlambulule	om skoon te maak
to decide	entscheiden	decider	decidir	ukuba isigqibo	om te besluit
to fall	fallen	tomber	caer	ukuwa	om te val
to hurt	verletzen	blesser	herir	ukwenzakalisa	om seer te maak
to live	leben	vivre	vivir	ukuphila	om te lewe
to play	spielen	jouer	jugar	ukudlala	om te speel
to repeat	wiederholen	répéter	repetir	ukuba aphinde	herhaal
to sit	sitzen	s'asseoir	sentar	ukuhlala	om te sit
to treat	behandeln	traiter	tratar	ukunyanga	te behandel
to answer	antworten	répondre	responder	ukuphendula	om te antwoord
to climb	klettern	escalader	escalar	ukukhwela	om te klim
to deliver	zustellen	livrer	entregar	ukuze ndibahlangule	om af te lewer
to fasten	fixieren	attacher	sujetar	yanxitywa	om vas
to identify	identifizieren	pour identifier	identificar	ukuchonga	om te indentifiseer
to look	sehen	regarder	mirar	ukujonga	om te kyk
to point	darauf hinweisen	pointer	apuntar	ukuba babugxininise	om te wys
to replace	ersetzen	remplacer	reemplazar	ukuba indawo	om te vervang
to sleep	schlafen	dormir	dormir	ukulala	slaap
to try	versuchen	essayer	intentar	ukuzama	probeer
to appear	erscheinen	apparaître	aparecer	ukuba avele	om te verskyn
to close	schließen	fermer	cerrar	ukuvala	te sluit
to demand	fordern	demander	pedir	ukuba bafune	om aan te dring
to feed	füttern	nourrir	alimentar	okondla	om te voed
to imagine	vorstellen	imaginer	imaginar	ukuba ucinge	om te dink
to lose	verlieren	perdre	perder	ukwaphulukana	om te verloor
to prefer	bevorzugen	préférer	preferir	ukuba bakhetha	verkies
to reply	antworten	répondre	responder	ukuba mawuthini	om te antwoord
to smile	lächeln	sourir	sonreír	ukuncuma	om te glimlag
to turn	drehen	tourner	convertir	ukujika	om te draai
to apply	sich bewerben	s'appliquer	aplicar	Ukufaka isicelo	om aansoek te doen
to collect	sammeln	collecter	recoger	ukuqokelela	om te kollekteer
to deny	bestreiten	nier	negar	ukukhanyela	om te ontken
to feel	fühlen	sentir	sentir	ukuva	voel
to improve	verbessern	améliorer	mejorar	ukuphucula	om te verbeter
to love	lieben	aimer	amar	ukuthanda	om lief te hê
to prepare	vorbereiten	préparer	preparar	ukulungisa	om voor te berei
to report	berichten	signaler	informar	ukuba ingxelo	aan te meld
to sort	sortieren	Trier	ordenar	ukuba bazihlele	uit te sorteer
to understand	verstehen	comprendre	entender	ukuqonda	om te verstaan
to argue	argumentieren	se disputer	discutir	Ukuxoxa	om te stry
to come	kommen	venir	venir	ukuza	kom
to depend	abhängig sein	dépendre	depender	ukuba sixhomekeke	afhanklik
to fight	kämpfen	combattre	luchar	ukulwa	om te veg
to include	einschließen	inclure	incluir	ukubandakanya	in te sluit
to make	machen	faire	hacer	ukwenza	te maak
to present	präsentieren	présenter	presentar	ukuba niyinikele	aan te bied
to represent	repräsentieren	représenter	representar	ukumela	om te verteenwoordig
to sound	klingen	paraitre	sonar	nokukhalisa	klink
to use	benutzen	utiliser	utilizar	ukusebenzisa	gebruik
to arrange	arrangieren	organiser	arreglar	ukuba amalungiselelo	om te reël
to commit	begehen	S'engager	comprometerse	ukuba benze	te pleeg
to describe	beschreiben	décrire	describir	ukuchaza	te beskryf
to fill	füllen	remplir	llenar	ukugcwalisa	in te vul
to increase	erhöhen	augmenter	incrementar	ukwenyusa	om te verhoog
to manage	managen	Gérer	gestionar	ukulawula	bestuur
to press	drücken	Pour appuyer	presionar	cofa	te druk
to require	benötigen	exiger	requerir	ukuya kufuna	te vereis
to speak	sprechen	parler	hablar	ukuthetha	om te praat
to be used to	gewohnt sein	Avoir l'habitude de	ser usado para	ukuba kusetyenziswa	om gebruik te
to arrive	ankommen	arriver	llegar	ukufika	om te arriveer
to compare	vergleichen	comparer	comparar	ukuthelekisa	om te vergelyk
to design	designen	Concevoir	diseñar	ukuyila	te ontwerp
to find	finden	trouver	encontrar	ukufumana	om uit te vind
to indicate	anzeigen	Indiquer	indicar	ukubonisa	om aan te dui
to mark	markieren	marquer	marcar	ukuphawula	merk
to prevent	verhindern	pour prévenir	prevenir	Ukunqanda	om te verhoed
to rest	ausruhen	se reposer	descansar	ukuphumla	om te rus
