english	german	french	xhosa	afrikaans
to increase	erhöhen	augmenter	ukwenyusa	om te verhoog
to manage	managen	Gérer	ukulawula	bestuur
to press	drücken	Pour appuyer	cofa	te druk
to require	benötigen	exiger	ukuya kufuna	te vereis
to speak	sprechen	parler	ukuthetha	om te praat
to be used to	gewohnt sein	Avoir l'habitude de	ukuba kusetyenziswa	om gebruik te
to arrive	ankommen	arriver	ukufika	om te arriveer
to compare	vergleichen	comparer	ukuthelekisa	om te vergelyk
to design	designen	Concevoir	ukuyila	te ontwerp
to find	finden	trouver	ukufumana	om uit te vind
to indicate	anzeigen	Indiquer	ukubonisa	om aan te dui
to mark	markieren	marquer	ukuphawula	merk
to prevent	verhindern	pour prévenir	Ukunqanda	om te verhoed
to rest	ausruhen	se reposer	ukuphumla	om te rus
to stand	stehen	Se tenir debout	ukuma	om op te staan
to visit	besuchen	visiter	ukundwendwela	om te besoek
to ask	fragen	demander	ukubuza	om te vra
to complain	sich beschweren	se plaindre	ukukhalaza	om te kla
to destroy	zerstören	détruire	ukutshabalalisa	om te vernietig
to finish	beenden	pour finir	ukugqiba	om klaar te maak
to influence	beeinflussen	influencer	ukuba nempembelelo	om te beïnvloed
to matter	bedeuten	compter	kumba	saak
to produce	produzieren	produire	ukuvelisa	te produseer
to result	dazu führen	résulter	ukuba ikhokelela	tot gevolg
to start	anfangen	commencer	ukuqala	om te begin
to vote	abstimmen	voter	ukuba bavote	om te stem
to attack	angreifen	attaquer	ukuhlasela	aan te val
to complete	fertigstellen	compléter	ukugqiba	om te voltooi
to develop	entwickeln	développer	ukuphuhlisa	om te ontwikkel
to fit	passen	S'adapter	ukungena	aan te pas
to inform	informieren	informer	ukwazisa	in te lig
to promise	versprechen	promettre	undithembise	om te belowe
to return	Zurückkehren	revenir	ukubuya	om terug te keer
to state	aussagen	établir	ukuba urhulumente	staat
to wait	warten	attendre	ukulinda	Om te wag
to avoid	vermeiden	éviter	ukubaleka	om te vermy
to concern	betreffen	de préoccuper	ukuba inkxalabo	kommer
to die	sterben	mourir	ukufa	Om dood te gaan
to fly	fliegen	voler	ukubhabha	om te vlieg
to intend	beabsichtigen	avoir l'intention de	ukuba uzimisele	beplan
to mean	meinen	vouloir dire	ukuthetha ukuba	om te beteken
to protect	beschützen	protéger	ukukhusela	om te beskerm
to reveal	enthüllen	révéler	ukumtyhilela	om te ontbloot
to stay	bleiben	rester	ukuhlala	om te bly
to walk	gehen	marcher	ukuhamba	om te wandel
to base	begründen	fonder	ukuba isiseko	na die basis
to confirm	bestätigen	confirmer	ukuqinisekisa	om te bevestig
to disappear	verschwinden	disparaître	zinyamalele	om te verdwyn
to fold	falten	plier	ukuba songa	om te vou
to introduce	vorstellen	Présenter	ukwazisa	bekend te stel
to measure	messen	mesurer	ukulinganisa	te meet
to prove	beweisen	prouver	ukubonisa ubunyani	om te bewys
to ring	klingeln	sonner	zaya khonkcweni	om te lui
to stick	stecken	coller	ukunamathela	om vas te hou
to want	wollen	vouloir	Ukufuna	wil
to be	sein	être	ukuba	om te wees
to connect	verbinden	se connecter	ukuzidibanisa	om aan te sluit
to discover	entdecken	découvrir	ukuba kukuphina	om te ontdek
to follow	folgen	suivre	ukulandela	om te volg
to invite	einladen	inviter	ukumema	uit te nooi
to meet	treffen	rencontrer	ukudibana	om te voldoen aan
to provide	bereitstellen	fournir	ukunikeza	om te voorsien
to rise	aufsteigen	se lever	ukwenyuka	styg
to stop	stoppen	arrêter	ukumisa	om op te hou
to warn	warnen	avertir	ukuba alumkise	te waarsku
to beat	schlagen	battre	Ukubetha	om te klop
to consider	etwas erwägen	considérer	ukucingela	om te oorweeg
to discuss	diskutieren	Discuter	Ukuxoxa	om te bespreek
to force	zwingen	forcer	ukunyanzela	te dwing
to involve	involvieren	impliquer	ukubandakanya	te betrek
to mention	erwähnen	à mentionner	ukukhankanya	om op te noem
to publish	veröffentlichen	de publier	ukupapasha	om te publiseer
to roll	rollen	à rouler	lokujikelezisa	te rol
to study	studieren	étudier	ukufunda	om te studeer
to wash	waschen	laver	bahlambe	te was
to become	werden	devenir	ukubayi	raak
to consist	bestehen	consister	iqulunqwe	om uit
to divide	teilen	diviser	ukuba bahlule	te verdeel
to forget	vergessen	oublier	ukulibala	om te vergeet
to join	beitreten	joindre	ukujoyina	om aan te sluit
to pull	ziehen	tirer	ukutsala	om te trek
to run	rennen	courir	ukubaleka	om te hardloop
to succeed	erfolgreich sein	réussir	ukuphumelela	om sukses te behaal
to watch	beobachten	regarder	ukubukela	om te kyk
to begin	beginnen	pour commencer	ukuqalisa	om te begin
to contact	kontaktieren	contacter	ukuba uqhagamshelane	te kontak
to do	tun	faire	ukwenza	om te doen
to forgive	verzeihen	pardonner	lokuxolela	om te vergewe
to jump	springen	sauter	ukuba utsibe	om te spring
to mind	etwas ausmachen	avoir àl'esprit	engqondweni	na vore
to push	drücken	pousser	ibihlaba	te stoot
to save	speichern	économiser	ukugcuna	om te spaar
to suffer	leiden	souffrir	ukuba ubunzima	te ly
to wear	tragen	porter	ukunxiba	om te dra
to believe	glauben	croire	ukukholwa	om te glo
to contain	enthalten	contenir	ukuqulatha	bevat
to dress	sich kleiden	s'habiller	ukunxiba	om aan te trek
to form	formen	constituer	ukwenza	te vorm
to keep	behalten	garder	ukugcina	om te hou
to miss	vermissen	manquer	ukukhumbula	misloop nie
to put	stellen	mettre	ukubeka	om te sit
to say	sagen	dire	ukuthi	om te sê
to suggest	vorschlagen	suggérer	ukucebisa	voor te stel
to belong	gehören	appartenir	ukuba lilungu	behoort
to continue	weitermachen	continuer	ukuqhubeka	om voort te gaan
to drink	trinken	boire	ukusela	om te drink
to found	gründen	trouver	ukuba ndiseke	om gevind
to kick	treten	donner un coup de pied	ukhaba	om te skop
to move	bewegen	bouger	ukuhamba	om te beweeg
to raise	erheben	augmenter	ukukhulisa	om op te lig
to see	sehen	à voir	ukubona	om te sien
to suit	passen	Pour convenir	ukulungela	aan te pas
to win	gewinnen	gagner	ukuphumelela	om te wen
to break	brechen	casser	ukwephula	om te breek
to contribute	beitragen	contribuer	ukuba negalelo	om by te dra
to drive	fahren	conduire	ukuqhuba	om te ry
to gain	zunehmen	gagner	ukufumana	om te wen
to kill	töten	tuer	ukubulala	om dood te maak
to reach	erreichen	atteindre	ukufika	te bereik
to seem	scheinen	sembler	ukuba ngathi	lyk
to supply	versorgen	fournir	ukuba unikeze	te voorsien
to wish	wünschen	souhaiter	ukuba unqwenela	toe te wens
to build	bauen	construire	ukwakha	om te bou
to control	kontrollieren	contrôler	ukuba ulawulo	beheer
to drop	fallen lassen	laisser tomber	ukuwisa	daal
to get	bekommen	obtenir	ukufumana	om te kry
to knock	klopfen	frapper	ninkqonkqoze	om te klop
to need	benötigen	avoir besoin	Ukufuna	om te benodig
to read	lesen	lire	ukufunda	om te lees
to sell	verkaufen	vendre	ukuthengisa	om te verkoop
to support	unterstützen	soutenir	ukuxhasa	om ondersteuning
to wonder	sich wundern	se demander	ukuba uyazibuza	om te wonder
to burn	brennen	brûler	ukuba aqhumisele	te verbrand
to cook	kochen	cuisiner	ukupheka	kook
to eat	essen	manger	Ukutya	om te eet
to give	geben	donner	ukunikeza	om te gee
to know	wissen	à savoir	ukwazi	om te weet
to notice	bemerken	remarquer	ukuba uqaphele	om op te let
to realize	feststellen	réaliser	ukubona	om te besef
to send	senden	envoyer	ukuthumela	stuur
to suppose	vermuten	supposer	ukuba siyamkele	om te veronderstel
to work	arbeiten	travailler	ukusebenza	werk
to buy	kaufen	acheter	ukuthenga	te koop
to copy	kopieren	copier	ukukhuphela	kopieer
to enable	ermöglichen	autoriser	ukwenzela ukuba	in staat te stel
to go	gehen	aller	ukuhamba	om te gaan
to last	dauern	durer	ukuhlala ixesha elide	om te hou
to obtain	erhalten	obtenir	ukufumana	om te bekom
to receive	bekommen	recevoir	ukufumana	te ontvang
to separate	trennen	séparer	ukusahlula	om te skei
to survive	überleben	survivre	ukuze sisinde	om te oorleef
to worry	sich Sorgen machen	s'inquiéter	moss	om te bekommer
to call	anrufen	appeler	ukubiza	om te bel
to correct	korrigieren	corriger	ukulungisa	om reg te maak
to encourage	ermutigen	encourager	ukukhuthaza	om aan te moedig
to grow	wachsen	grandir	ukukhula	om te groei
to laugh	lachen	rire	ukuhleka	om te lag
to occur	passieren	avoir lieu	ukuba yenzeke	om te gebeur
to recognize	erkennen	reconnaître	ukunakana	om te erken
to serve	dienen	servir	ukuseva	om te bedien
to take	nehmen	prendre	Yise e	te neem
to cost	kosten	coûter	ukuba iindleko	om koste
to end	beenden	finir	ukuphelisa	om te eindig
to handle	handhaben	gérer	ukubamba	om te hanteer
to lay	liegen	coucher	angalalisa	om te lê
to offer	anbieten	offrir	ukunikeza	om aan te bied
to record	aufzeichnen	enregistrer	ukuba babhale	aan te teken
to set	etwas bestimmen	mettre en place	ukuseta	op te rig
to talk	sprechen	parler	ukuthetha	om te praat
to write	schreiben	écrire	ukubhala	om te skryf
to accuse	beschuldigen	accuser	yokulumangalela	te beskuldig
to celebrate	feiern	célébrer	ukubhiyzela	te vier
to disturb	stören	déranger	ukuphazamisa	steur
to file	einordnen	classer	kwifayile	om te liasseer
to light	anzünden	éclairer	ekukhanyeni	om lig te gee
to promote	befördern	promouvoir	ukuthengisa	om te bevorder
to sail	segeln	naviguer	ukuba kudlulwe	te vaar
to switch	wechseln	commuter	ukuya kula desktop	om te verander
to advise	beraten	conseiller	ukuze icebise	te adviseer
to combine	kombinieren	combiner	ukudibanisa	te kombineer
to dominate	dominieren	dominer	ukuyongamela	oorheers
to fire	feuern	virer	ukuba umlilo	om te vuur
to list	auflisten	lister	ukudwelisa	om 'n lys
to question	in Frage stellen	questionner	ukuthandabuza	bevraagteken
to satisfy	befriedigen	satisfaire	ukwanelisa	om te voldoen aan
to taste	schmecken	goûter	ukungcamla	om te proe
to appoint	ernennen	nommer	ukuqesha	om aan te stel
to comment	kommentieren	commenter	ukuba izimvo	om kommentaar te lewer
to doubt	zweifeln	douter	ukuba bathandabuze	om te twyfel
to fix	reparieren	Réparer	ukulungisa	om reg te maak
to lock	abschließen	verrouiller	ukutshixa	te sluit
to race	rennen	faire la course	nobuhlanga	van ras
to score	punkten	marquer	ukuba amanqaku	teken punte aan
to tear	reißen	pleurer	ukukrazula	skeur
to appreciate	wertschätzen	apprécier	siqonde	om te waardeer
to conclude	schlussfolgern	de conclure	ukushwankathela	in afsluiting
to dream	träumen	rêver	ukuba iphupha	om te droom
to flow	fließen	couler	ukuba iqukuqele	om te vloei
to maintain	aufrecht erhalten	Maintenir	ukugcina	te onderhou
to recommend	empfehlen	recommander	kungacetyiswa ukuba	om aan te beveel
to search	suchen	chercher	ukukhangela	om te soek
to threaten	bedrohen	Menacer	ukuze oyikise	om te dreig
to approach	sich nähern	s'approcher	ukusondela	te benader
to conduct	etwas leiten	mener	ukuba aqhube	uit te voer
to dry	trocknen	sécher	ukuba yome	om droog te maak
to generate	generieren	générer	ukujikelezisa	om te genereer
to marry	heiraten	se marier	ukutshata	om te trou
to recover	erholen	se remettre	ukuze afumane	om te herstel
to seek	suchen	chercher	Ukufuna	om te soek
to tie	binden	attacher	imitya	te bind
to arrest	verhaften	arrêter	ukuba bambambe	in hegtenis te neem
to construct	erstellen	construire	ukwakha	om te bou
to earn	verdienen	gagner	ukufumana	verdien
to grant	gewähren	Accorder	ukuba anike	om toe te laat
to match	passen	correspondre	ukudibanisa	te pas
to regret	bereuen	regretter	kuzisola	om spyt te wees
to sink	sinken	couler	ukutshona	Om te sink
to transfer	übermitteln	transférer	ukutshintshela	oor te dra
to attempt	versuchen	tenter	ukuba uzame	om te probeer
to convince	überzeugen	convaincre	nokubohlwaya	te oortuig
to elect	wählen	élire	wokonyula	om te kies
to guess	raten	deviner	ukuqashisela ukuba	om te raai
to mix	mischen	mélanger	uxutywe	om te meng
to reject	ablehnen	rejeter	yokugatya	te verwerp
to slip	rutschen	glisser	ukutyibilika	te glip
to trust	vertrauen	faire confiance	ukukholosa	te vertrou
to attend	teilnehmen	participer	Zimasa	om by te woon
to cope	beweältigen	Faire face	ukumelana	om te gaan
to emerge	hervorkommen	Émerger	ukuba ivele	te voorskyn kom
to hand	etwas überreichen	À la main	ukuba isandla	om te gee
to name	benennen	appeler	igama	te noem
to relax	entspannen	se relaxer	ukuphumla	om te ontspan
to smoke	rauchen	fumer	ukuba ukutshaya	om te rook
to vary	variieren	faire varier	lahlukile	wissel
to attract	anziehen	attirer	ukutsala	om aan te trek
to criticize	kritisieren	critiquer	ukugxeka	om te kritiseer
to employ	beschäftigen	employer	ukuba isebenzise	om in diens te neem
to ignore	ignorieren	ignorer	ngoyaba	om te ignoreer
to note	notieren	constater	ukuqaphela	om daarop te let
to rely	sich verlassen auf	compter sur	ukuba sithembele	om staat te maak
to solve	lösen	résoudre	ukulungisa	om op te los
to view	sehen	regarder	ukubonisela	om te aanskou
to behave	sich benehmen	se comporter	ukuba baziphathe	om te gedra
to dare	sich trauen	oser	ubudela	te waag
to ensure	sicherstellen	s'assurer	ukuqinisekisa	te verseker
to illustrate	um zu veranschaulichen	pour illustrer	ukucacisa	om te illustreer
to occupy	besetzen	occuper	ukuba ithabathele	om te beset
to remind	erinnern	rappeler	ukukhumbuza	om te onthou
to spread	verbreiten	étendre	ukusasaza	om te versprei
to waste	verschwenden	gaspiller	ngokujaceka	te mors
to bend	biegen	plier	ukuba ukugoba	buig
to date	miteinander ausgehen	sortir avec	ukuya kumhla	tot op hede
to escape	fliehen	pour échapper à	ukubaleka	om te ontsnap
to impress	beeindrucken	impressionner	ukuze ndiwakhumbule	om te beïndruk
to organize	organisieren	organiser	ukuba aququzelele	om te organiseer
to resist	widerstehen	à résister	ukuxhathisa	om te weerstaan
to star	eine Hauptrolle spielen	pour jouer	iinkwenkwezi	te ster
to wave	winken	dire au revoir	ukuba itshangatshangiswe	waai
to benefit	profitieren	bénéficier	ukuba inzuzo	om te baat by
to declare	verkünden	déclarer	ukuvakalisa	om te verklaar
to establish	etablieren	établir	ukuseka	om vas te stel
to insist	auf etwas bestehen	insister	ukulixelela ukuba	aan te dring
to owe	schulden	devoir	ukuba babenzele	om te skuld
to respect	respektieren	respecter	ukuba malunga	om te respekteer
to steal	stehlen	voler	ukweba	om te steel
to weigh	wiegen	peser	ukuba uthandaze	te weeg
to bite	beißen	mordre	ukuba alunywe	om te byt
to decline	ablehnen	baisser	ukuba ungarhoxa	afneem
to estimate	schätzen	estimer	ukuqikelela	om te skat
to invent	erfinden	inventer	okusungula	om uit te vind
to paint	malen	peindre	Ukupeyinta	om te verf
to respond	antworten	répondre	ukusabela	om te reageer
to step	schreiten	avancer d'un pas	kwinyathelo	te stap
to welcome	begrüßen	d'accueillir	ukwamkela	om te verwelkom
to blame	beschuldigen	reprocher	ukutyola	om te blameer
to defeat	besiegen	vaincre	ukuba litshitshiswe	om te oorwin
to exchange	wechseln	échanger	kutshintshiselwano	uit te ruil
to investigate	untersuchen	enquêter	ukuze aphande	om ondersoek in te
to permit	erlauben	Autoriser	ukuvumela	om toe te laat
to restrict	beschränken	restreindre	ukuba imiqathango	om te beperk
to store	lagern	stocker	ukugcina	om te stoor
to blow	blasen	souffler	ukuba avuthele	te blaas
to defend	verteidigen	défendre	ukuthethelela	te verdedig
to exclude	ausschließen	exclure	ukuba ngaphandle	uit te sluit
to issue	ausgeben	Émettre	ukuba akhuphe	uit te reik
to persuade	überreden	pour convaincre	ukuba beyiseke	om te oortuig
to retire	in Rente gehen	partir à la retraite	ukuba umhlala	om af te tree
to stretch	strecken	étirer	ndisolule	te rek
to bother	ärgern	déranger	ungenakuwuxhalabela	te pla
to define	definieren	définir	ukuchaza	om te definieer
to excuse	entschuldigen	Excuser	bafun	om verskoning
to judge	beurteilen	juger	ukuba ngumgwebi	om te oordeel
to phone	telefonieren	téléphoner	kwifowuni	bel
to review	überprüfen	réviser	ukuba ihlole	te hersien
to strike	streiken	frapper	lokuqhankqalaza	om te staak
to breathe	atmen	respirer	ukuphefumla	om asem te haal
to dig	graben	à creuser	ukwemba	om te grawe
to expand	erweitern	étendre	ukwandisa	om uit te brei
to justify	rechtfertigen	justifier	ku hlamusela	te regverdig
to possess	besitzen	posséder	ukuba nilime	om in besit te neem
to ride	reiten	conduire	ukukhwela	om te ry
to surround	umgeben	entourer	ukuze zingqonge	om omring
to burst	platzen	éclater	kugqabhuka	bars
to direct	leiten	à diriger	ukwalathisa	te rig
to explore	erforschen	explorer	ukuba baphicothe	te verken
to land	landen	atterrir	emhlabeni	tot grond
to pour	eingießen	verser	ukuze ndiyiphalaze	te gooi
to risk	riskieren	risquer	ukuba umngcipheko	om risiko
to suspect	vermuten	suspecter	orhanela	om te vermoed
to calculate	berechnen	calculer	ukubala	te bereken
to dismiss	ablehnen	de rejeter	ukuze ndiyeke	te ontslaan
to fear	fürchten	avoir peur	ukumoyika	om te vrees
to launch	starten	lancer	ukuba ukusungulwa	om bekendstelling
to practise	üben	pratiquer	ukuqhelisela	uit te oefen
to rule	regieren	Gouverner	ukuba alawule	te regeer
to swim	Schwimmen	nager	ukuqubha	om te swem
to capture	erfassen	capturer	ukuba zifake	te vang
to display	anzeigen	afficher	ukubonisa	te vertoon
to feature	aufweisen	Mettre en vedette	ukuba osemqoka	om funksie
to lean	lehnen	s'appuyer	onokukhalela	om op te leun
to print	drucken	imprimer	yokuprinta	druk
to rush	stürzen	se précipiter	ukuba bakuphembelele	te jaag
to swing	schaukeln	Balancer	sokujingajinga	om te swaai
to abandon	aufgeben	Abandonner	ukuba ndikushiye	om te laat vaar
to cheat	betrügen	tricher	yokukopa	om te kul
to drag	ziehen	traîner	ukuba utsalo	om te sleep
to heat	heizen	chauffer	ebushushwini	aan hitte
to object	widersprechen	élever une objection	ukuba into	om voorwerp
to pursue	verfolgen	poursuivre	ukuba ukulandela	na te streef
to sign	unterschreiben	signer	ukuba basayine	om aan te meld
to tackle	anpacken	tacler	ukuba kuhoywane	aan te pak
to admire	bewundern	admirer	ukuba bamhlonele	Om te admireer
to chew	kauen	mâcher	ihlafuna	om te kou
to draw	zeichnen	dessiner	ukuzoba	om te trek
to hesitate	zögern	hésiter	ukuba madolw	om huiwer
to oblige	verpflichten	obliger	okunyanzela	om te dwing
to qualify	qualifizieren	qualifier	ukufanelekela	om te kwalifiseer
to slide	schlittern	glisser	kwisilayidi	te skuif
to tap	klopfen	Toucher	ukuze kufunyanwe	om te tik
to adopt	adoptieren	adopter	ukuze amkele	om aan te neem
to collapse	zusammenbrechen	S'effondrer	ukuyisonga	om te val
to drown	ertrinken	se noyer	singaliva	om te verdrink
to house	unterbringen	loger	ukuya kwindlu	huis
to observe	beobachten	observer	ukuba bazigcine	in ag te neem
to quit	beenden	quitter	ukuyeka	om op te hou
to smash	zerschlagen	fracasser	abadubulanayo	te smash
to trace	verfolgen	tracer	ukuba ukulandela	op te spoor
to advertise	werben	faire de la publicité	ukuba sibhengeze	om te adverteer
to compose	komponieren	composer	ukuba baqambe	om saam te stel
to educate	ausbilden	pour éduquer	kukufundisa	op te voed
to hurry	sich beeilen	se dépêcher	mandikhawulezise	gou te maak
to oppose	ablehnen	s'opposer	ukuchasa	teen te staan
to quote	zitieren	citer	ukucaphula	om aan te haal
to smell	riechen	sentir	ukunukisa	te ruik
to trade	handeln	négocier	ukuba yorhwebo	om handel te dryf
to announce	ankündigen	annoncer	ukwazisa	om aan te kondig
to condemn	verurteilen	condamner	ukuba zihluthe	veroordeel
to emphasize	hervorheben	Souligner	ukugxininisa	om te beklemtoon
to imply	implizieren	impliquer	ungavakali	impliseer
to overcome	überwinden	surpasser	ukoyisa	te oorkom
to rain	regnen	pleuvoir	ukunetha	om te reën
to spell	buchstabieren	épeler	ukupela	om te spel
to transform	transformieren	transformer	ukuba inguqu	om te transformeer
to appeal	ansprechen	Faire appel	ukuba isibheno	om te appelleer
to confuse	verwirren	confondre	ukubhidekisa	te verwar
to entertain	unterhalten	distraire	ukonwabisa	om te vermaak
to import	importieren	importer	ukuya elizweni	invoer
to pack	packen	faire ses valises	ndipakishe	om te pak
to react	reagieren	réagir	ukuba asabele	om te reageer
to spill	verschütten	renverser	achitheke	om te mors
to translate	übersetzen	traduire	ukuba aguqulele	om te vertaal
to approve	genehmigen	approuver	lokuvuma	goed te keur
to congratulate	gratulieren	féliciter	Siyavuyisana	gelukwens
to exaggerate	übertreiben	Exagérer	ukubaxa	te oordryf
to impose	verhängen	d'imposer	lokuwisa	op te lê
to park	parken	se garer	ukuba apake	om te parkeer
to reckon	schätzen	estimer	ukubalelana	afreken
to spin	drehen	tourner	ukuba spin	spin
to transport	transportieren	transporter	ukuba izithuthi	vervoer
to assist	helfen	aider	ukuncedisa	om te help
to consult	konsultieren	consulter	ukuba bajonge	te raadpleeg
to explode	explodieren	exploser	ukuba abe ligqabi	om te ontplof
to injure	verletzen	blesser	nza	te beseer
to pause	pausieren	arrêter, mettre en pause	ukuba umvumele	te breek
to register	registrieren	enregistrer	ukuba babhalise	om te registreer
to split	aufteilen	séparer	ukuba angazahluli	om op The breek
to trap	einfangen	piéger	ukuze mgibe	te vang
to assume	annehmen	présumer	ukurhwaphilizela	om aan te neem
to convert	umwandeln	convertir	ukuguqula	om te skakel
to exploit	ausnutzen	exploiter	ukuxhaphaza	te ontgin
to install	installieren	à installer	ukufakela	om te installeer
to perceive	wahrnehmen	percevoir	yokwazi	om te verstaan
to relieve	entlasten	pour soulager	kokubambela	om te verlig
to spoil	verderben	gâter	nasekuphangweni	te bederf
to twist	verdrehen	tordre	iimbombozi	om te draai
to attach	befestigen	attacher	ukufakelela	te heg
to convey	vermitteln	Transmettre	ukugqithisa	oor te dra
to export	exportieren	exporter	ukuba urhwebe ngaphandle	uit te voer
to insult	beleidigen	insulter	isigculelo	om belediging
to plant	pflanzen	planter	ukuba izityalo	om te plant
to rent	mieten	louer	ukuqesha	te huur
to sponsor	sponsern	sponsoriser	ukuba indixhase	om borg
to upset	aufregen	contrarier	ukucaphukisa	om ontstel
to award	vergeben	accorder	asivunyelwa	toe te ken
to convict	verurteilen	condamner	uyamgweba	om te oortuig
to favour	begünstigen	Favoriser	lokuyibabala	om ten gunste van
to interrupt	unterbrechen	interrompre	ukuba ziphazamise	om te onderbreek
to please	erfreuen	plaire	ukwenelisa	om tevrede te stel
to repair	reparieren	réparer	ukuba alungise	herstel
to squeeze	auspressen	serrer	balukuhlwe	te druk
to urge	drängen	d'exhorter	amwisele	aan te dring
to back	unterstützen	retourner	uzakubuyela	om terug
to cough	husten	tousser	ukuba isikhohlela	hoes
to flash	aufblitzen	à clignoter	ukuba flash	flits
to interview	befragen	interviewer	ukuba udliwano	om 'n onderhoud
to pop	knallen	éclater	ukuba izakuvelisa	pop
to rescue	retten	sauver	uyihlangulayo	om te red
to stamp	stempeln	Tamponner	ukuyiphelisa	te roei
to value	wertschätzen	estimer	ukuba ixabiso	om waarde
to balance	ausbalancieren	équilibrer	ukulungelelanisa	te balanseer
to crack	zerbrechen	à craquer	ukuba iqhekeke	om te kraak
to float	treiben	flotter	ukuba udade	om te dryf
to invest	investieren	investir	ukutyala	om te belê
to post	abschicken	poster	ukungathumeli	te plaas
to reserve	reservieren	réserver	ukuba ziyigcine	om reserwe
to steer	lenken	Diriger	yitshintshe	bestuur
to vanish	verschwinden	disparaitre	kuthi shwaka	verdwyn
to ban	verbannen	exclure	sokuvala	te verbied
to crash	zerstören	s'écraser	kubetheka	om te crash
to flood	fluten	Innonder	ugcwale	vloed
to kiss	küssen	embrasser	ukuba amange	te soen
to pray	beten	prier	ukuba sithandaze	om te bid
to resign	zurücktreten	démissionner	ukurhoxa	om te bedank
to stir	rühren	remuer	ukuba usikhwezele	op te wek
to wake	aufwachen	réveiller	ukuba avuse	om wakker
to bear	ertragen	supporter	ukunyamezela	uit te oefen
to delay	verzögern	retarder	yokulibazisa	om te vertraag
to focus	konzentrieren	se concentrer	ukuba bagxininise	om te fokus
to lack	fehlen	manquer	banokungabi	tekort skiet
to predict	prognostizieren	prédire	ukuqikelela	om te voorspel
to reverse	umkehren	inverser	ukuba umva	om te keer
to strengthen	stärken	à renforcer	ukomeleza	te versterk
to whisper	flüstern	chuchoter	ku sebeza	fluister
to bet	wetten	parier	ukuba bet	n weddenskap aangaan
to demonstrate	demonstrieren	démontrer	ukubonisa	om aan te toon
to free	befreien	libérer	asimahla	gratis
to lift	heben	Lever	ukuba avule	om op te tel
to preserve	konservieren	conserver	ukulondoloza	om te preserveer
to rub	reiben	frotter	iyabosulela	om te vryf
to stress	betonen	souligner	kuxinezeleko	om te stres
to wind	sich winden	aérer	Nceda zama	na aanleiding
to block	blockieren	bloquer	ukubhloka	te sluit
to deserve	verdienen	mériter	ndiyenzileyo	om te verdien
to freeze	frieren	geler	ngumkhenkce	te vries
to load	laden	charger	ukulayisha	om te laai
to pretend	vorgeben	prétendre	ukuba ngathi	voorgee
to sack	entlassen	mettre à la porte	ukuba aphe	om te sak
to struggle	sich abmühen	lutter	ukuba umzabalazo	om stryd
to wipe	wischen	pour essuyer	okususa	te wis
to boil	kochen	bouillir	ungalipheki	kook
to devise	ersinnen	Concevoir	ukuba athelekelele	om te bedink
to frighten	erschrecken	effrayer	kukoyikisa	om te skrik
to locate	lokalisieren	pour localiser	ukuze zifumane	op te spoor
to proceed	fortfahren	procéder	ukuba uqhubeke	om voort te gaan
to scream	schreien	hurler	khala	te skree
to submit	einreichen	soumettre	ukuba angenise	in te dien
to withdraw	sich zurückziehen	Se rétracter	lokusirhoxisa	om te onttrek
to book	buchen	réserver	ukubhuka	om te bespreek
to disagree	widersprechen	être en désaccord	ukuba nineembono	om te verskil
to govern	regieren	Gouverner	bazilawule	om te regeer
to manufacture	herstellen	à fabriquer	aphuhluyo	te vervaardig
to process	verarbeiten	traiter	ukuba inkqubo	om te
to select	auswählen	pour sélectionner	ukuba ukhethe	om te kies
to surprise	überraschen	surprendre	ngokuman	om te verras
to witness	bezeugen	être témoin de	okushumayela	om te getuig
to brush	bürsten	brosser	ukuxukuxa	om te borsel
to disapprove	missbilligen	Désapprouver	ukuba ndithiye	om afkeur
to grab	fassen	attraper	ndimbambe	te gryp
to monitor	überwachen	surveiller	ukuba iliso	te monitor
to progress	vorankommen	progresser	ukuba inkqubela	om te vorder
to sense	spüren	détecter	ukuyiva	om sin
to survey	befragen	faire un sondage	kulibhala	om opname
to wrap	einpacken	Envelopper	ukuba azisongele	toe te draai
to bury	begraben	enterrer	ukuba ndimngcwabe	te begrawe
to dislike	nicht mögen	ne pas aimer	ukuba uyayicaphukela	om laaik
to graduate	graduieren	être diplômé	ukuba bapase	gradueer
to mount	montieren	à monter	ukunyusa	na die berg
to pronounce	aussprechen	prononcer	ukuba avakalise	om uit te spreek
to shape	formen	façonner	emile	te vorm
to suspend	aussetzen	Suspendre	ugunyazisiweyo	op te skort
to cast	etwas werfen	Jeter	ukuphosa	om te gooi
to distinguish	unterscheiden	distinguer	ukwahlula	om te onderskei
to guarantee	garantieren	garantir	kwi siqinisekiso	om waarborg
to murder	ermorden	assassiner	ukuba abulale	tot moord
to protest	protestieren	protester	lokuqhankqalaza	om te protesteer
to shift	verschieben	à déplacer	ukushifta	te skuif
to swallow	schlucken	avaler	ukuba imginye	om te sluk
to chase	jagen	chasser	kukuleqa	te jaag
to distribute	verteilen	distribuer	ukusasaza	te versprei
to guide	leiten	guider	ukukhokela	om te lei
to negotiate	verhandeln	négocier	ukuba thethana	om te onderhandel
to pump	pumpen	Pomper	yokumpompa	te pomp
to shine	leuchten	briller	malukhanye	om te skyn
to swear	fluchen	jurer	ukuba bafunge	sweer
to chat	plaudern	discuter	ukuncokola	om te gesels
to double	verdoppeln	doubler	kabini	verdubbel
to hang	hängen	Accrocher	sokuxhoma	om te hang
